"Election_Type","State_Name","Assembly_No","Constituency_No","Year","month","Poll_No","DelimID","Position","Candidate","Sex","Party","Votes","Candidate_Type","Valid_Votes","Electors","Constituency_Name","Constituency_Type","Sub_Region","N_Cand","Turnout_Percentage","Vote_Share_Percentage","Deposit_Lost","Margin","Margin_Percentage","ENOP","pid","Party_Type_TCPD","Party_ID","last_poll","Contested","Last_Party","Last_Party_ID","Last_Constituency_Name","Same_Constituency","Same_Party","No_Terms","Turncoat","Incumbent","Recontest","Age","District_Name","PC_Name","PC_No","CandID","MyNeta_education","TCPD_Prof_Main","TCPD_Prof_Main_Desc","TCPD_Prof_Second","TCPD_Prof_Second_Desc"
"GA","Gujarat","13","1","1999","","0","3","1","Gadhvi Pushpadan Sambhudan","M","BJP","32477","GEN","64411","","Abdasa","GEN","","5","","50.42","no","1393","2.16","2.08","GEGJ53484","National Party","1605","","3","BJP","1605","KUTCH","TRUE","TRUE","3","FALSE","TRUE","TRUE","","","Kutch","1","1","","","","",""
"GA","Gujarat","13","1","1999","","0","3","2","Babubhai Meghji Shah","M","INC","31084","","64411","","Abdasa","GEN","","5","","48.26","no","30761","47.76","2.08","GEGJ37204","National Party","3482","","3","BJP","1605","KUTCH","TRUE","FALSE","1","TRUE","FALSE","FALSE","","","Kutch","1","2","","","","",""
"GA","Gujarat","13","1","1999","","0","3","3","Garoda (Garva) Sujabhai Rajabh","M","RPI","323","","64411","","Abdasa","GEN","","5","","0.5","yes","10","0.02","2.08","GEGJ69534","State-based Party","6911","","1","","","","","","0","FALSE","FALSE","FALSE","","","Kutch","1","3","","","","",""
"GA","Gujarat","13","1","1999","","0","3","4","Jadeja Takhubha Amarsinh","M","SHS","313","","64411","","Abdasa","GEN","","5","","0.49","yes","99","0.15","2.08","GEGJ69532","State-based Party","18691","","1","","","","","","0","FALSE","FALSE","FALSE","","","Kutch","1","4","","","","",""
"GA","Gujarat","13","1","1999","","0","3","5","Dayaram Nathubhai Maiyat","M","IND","214","","64411","","Abdasa","GEN","","5","","0.33","yes","0","0","2.08","GEGJ69533","Independents","10809","","1","","","","","","0","FALSE","FALSE","FALSE","","","Kutch","1","5","","","","",""
"GA","Gujarat","13","2","1999","","0","3","1","Gadhvi Pushpadan Sambhudan","M","BJP","34008","GEN","57993","","Mandvi","GEN","","5","","58.64","no","10646","18.36","2","GEGJ53484","National Party","1605","","3","BJP","1605","KUTCH","TRUE","TRUE","3","FALSE","TRUE","TRUE","","","Kutch","1","1","","","","",""
"GA","Gujarat","13","2","1999","","0","3","2","Babubhai Meghji Shah","M","INC","23362","","57993","","Mandvi","GEN","","5","","40.28","no","23078","39.79","2","GEGJ37204","National Party","3482","","3","BJP","1605","KUTCH","TRUE","FALSE","1","TRUE","FALSE","FALSE","","","Kutch","1","2","","","","",""
"GA","Gujarat","13","2","1999","","0","3","3","Jadeja Takhubha Amarsinh","M","SHS","284","","57993","","Mandvi","GEN","","5","","0.49","yes","74","0.13","2","GEGJ69532","State-based Party","18691","","1","","","","","","0","FALSE","FALSE","FALSE","","","Kutch","1","4","","","","",""
"GA","Gujarat","13","2","1999","","0","3","4","Garoda (Garva) Sujabhai Rajabh","M","RPI","210","","57993","","Mandvi","GEN","","5","","0.36","yes","81","0.14","2","GEGJ69534","State-based Party","6911","","1","","","","","","0","FALSE","FALSE","FALSE","","","Kutch","1","3","","","","",""
"GA","Gujarat","13","2","1999","","0","3","5","Dayaram Nathubhai Maiyat","M","IND","129","","57993","","Mandvi","GEN","","5","","0.22","yes","0","0","2","GEGJ69533","Independents","10809","","1","","","","","","0","FALSE","FALSE","FALSE","","","Kutch","1","5","","","","",""
